id	title	objective
000	Baseline Freeze	Capture branch HEAD working-tree evidence environment resources and rollback anchors without altering pre-existing work.
001	Completion Constitution	Make preservation evidence-first enhancement no-mock and gate rules executable project policy.
002	Canonical Source Boundaries	Classify active source historical source generated vendor evidence archive and external-source boundaries.
003	Immutable Evidence Store	Create append-only evidence conventions with hashes timestamps provenance and source references.
004	Phase State Model	Persist phase status attempts blockers evidence and dependencies in machine-readable form.
005	AUTO Phase Controller	Implement deterministic PASS advances FAIL repairs BLOCKED stops logic with no silent skipping.
006	Bounded Repair Engine	Define retry budgets root-cause capture escalation and safe stop conditions.
007	Checkpoint and Rollback	Create Git and file-level checkpoints before modifying phases and prove restoration paths.
008	No-Delete Cleanup Freeze	Classify cleanup candidates only; prohibit deletion, pruning, reset, clean, GC, move or overwrite of project material until Phase 100 full-tree forensic audit.
009	Source Corpus Registry	Register EBDESIGN consolidated Desktop/ne backups worktrees archives GitHub and future sources.
010	EBDESIGN Discovery	Inventory actual primary-tree files structures manifests databases assets and authored artifacts.
011	Consolidated Discovery	Inventory EBDESIGN-consolidated and map every item against the primary tree.
012	Desktop NE Discovery	Inventory NE HTML PDF DOCX ZIP product image and prototype families as first-class sources.
013	GitHub History Discovery	Map branches commits PR-era variants and files absent from local canonical source.
014	Backup and Archive Discovery	Find old backup archive recovery and pre-consolidation material without assuming obsolescence.
015	Worktree Pine SUBH Recovery	Discover Claude worktrees pine/Grok SUBH-DEEP and merge-lab capability sources.
016	Exhaustive File-by-File Review	Read and individually record every file across EBDESIGN, EBDESIGN-consolidated and NE including ignored, hidden, archive, backup, worktree, dependency and binary files; no disposition decision is allowed in this phase.
017	Universal File Identity	Assign stable source identity path metadata role and provenance to every relevant artifact.
018	Cryptographic Fingerprinting	SHA-256 fingerprint relevant files to prove exact duplicates and preservation.
019	Exact Duplicate Families	Group byte-identical artifacts without deleting authoritative or provenance copies prematurely.
020	Near-Duplicate Families	Detect similar code documents HTML and data versions that differ materially.
021	Structural Code Parsing	Extract imports exports classes functions routes handlers schemas workers and dependency edges.
022	Concept and Document Parsing	Extract requirements rules algorithms workflows decisions and domain concepts from raw originals.
023	HTML Prototype Recovery	Parse AFRERA and NE Harvest HTML versions for screens data workflows copy handlers prompts and lost features.
024	Visual Asset Recovery	Inventory images dimensions hashes references and candidate semantic/product relationships.
025	PDF DOCX Binary Recovery	Extract usable structured facts tables images requirements and provenance from rich documents.
026	Source Provenance Graph	Connect each recovered capability to source versions evidence lineage and later implementations.
027	Feature Recovery Matrix	Create concept-to-implementation matrix across current old backup NE and GitHub sources.
028	Conflict and Regression Detection	Identify incompatible implementations lost behavior stale rules fake persistence and regressions.
029	Lossless Reconciliation Design	Choose merge supersede bridge archive or retain outcomes with explicit no-loss rationale.
030	Canonical Domain Taxonomy	Define enterprise domain system module submodule capability feature service and business-cell hierarchy.
031	Software Anatomy Model	Enforce input validation context knowledge rules logic decision workflow storage event audit learning anatomy.
032	Discovery Wire Contract	Standardize module metadata capability context dependencies and natural-language discovery interface.
033	Execution Wire Contract	Standardize initialization health execute errors authorization idempotency and result envelopes.
034	Module Lifecycle	Implement discovered loaded initialized ready executing degraded error shutdown lifecycle semantics.
035	Dependency Graph	Build real module service data external and runtime dependency resolution with cycle/orphan detection.
036	Event and Signal Nervous System	Unify events signals reflex triggers queues and cross-domain reactions with schema governance.
037	Canonical Data Model Catalog	Reconcile database schemas entities ownership retention lineage and source-of-truth rules.
038	API Contract Catalog	Extract and validate real REST GraphQL WebSocket event and integration contracts.
039	UI Route Experience Catalog	Map every page component state route role permission and responsive experience.
040	Workflow and State-Machine Catalog	Model business workflows states transitions SLAs exceptions compensations and approvals.
041	Rules Algorithms Formula Catalog	Recover deterministic rules calculations optimization scoring simulation and scientific algorithms.
042	AI Engine Catalog	Register ML CV OCR speech forecasting LLM agents knowledge engines and capability fitness.
043	External Integration Catalog	Map payment banking logistics weather government messaging maps identity and partner dependencies.
